10.241.128.128 - - [25/Aug/2026:13:14:16 +0000] "GET /identity HTTP/1.1" 300 581 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:16 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1298 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:16 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:16 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 593 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:16 +0000] "GET /identity/v3/users/e056e009f00f46a2a7f8747cbbf22246 HTTP/1.1" 200 497 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:16 +0000] "GET /identity/v3/projects/167f72ecbd7040e3ac032a192fa843bd HTTP/1.1" 200 548 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:16 +0000] "PUT /identity/v3/projects/167f72ecbd7040e3ac032a192fa843bd/users/e056e009f00f46a2a7f8747cbbf22246/roles/8395f340e9ce47dbba23cea71178ee65 HTTP/1.1" 204 201 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "GET /identity HTTP/1.1" 300 581 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1298 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "GET /identity/v3/roles/anotherrole HTTP/1.1" 404 341 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "GET /identity/v3/roles?name=anotherrole HTTP/1.1" 200 588 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "GET /identity/v3/users/21fd26acf33d424bab7a4eae08f978b3 HTTP/1.1" 200 525 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "GET /identity/v3/projects/167f72ecbd7040e3ac032a192fa843bd HTTP/1.1" 200 548 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "PUT /identity/v3/projects/167f72ecbd7040e3ac032a192fa843bd/users/21fd26acf33d424bab7a4eae08f978b3/roles/abccdc37310444d0bd7274f62c415a82 HTTP/1.1" 204 201 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "GET /identity HTTP/1.1" 300 581 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1298 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "GET /identity/v3/roles/member HTTP/1.1" 404 336 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "GET /identity/v3/roles?name=member HTTP/1.1" 200 595 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "GET /identity/v3/users/21fd26acf33d424bab7a4eae08f978b3 HTTP/1.1" 200 525 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "GET /identity/v3/projects/23724b4511914e98940e1e9197007984 HTTP/1.1" 200 562 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "PUT /identity/v3/projects/23724b4511914e98940e1e9197007984/users/21fd26acf33d424bab7a4eae08f978b3/roles/30b746714e9d4e828a30e025a6a970f1 HTTP/1.1" 204 201 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "GET /identity HTTP/1.1" 300 581 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1298 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 449 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "POST /identity/v3/users HTTP/1.1" 201 544 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "GET /identity HTTP/1.1" 300 581 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1298 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "GET /identity/v3/roles/member HTTP/1.1" 404 336 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "GET /identity/v3/roles?name=member HTTP/1.1" 200 595 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:17 +0000] "GET /identity/v3/users/21fd26acf33d424bab7a4eae08f978b3 HTTP/1.1" 200 525 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:18 +0000] "GET /identity/v3/projects/167f72ecbd7040e3ac032a192fa843bd HTTP/1.1" 200 548 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:18 +0000] "GET /identity/v3/role_assignments?role.id=30b746714e9d4e828a30e025a6a970f1&scope.project.id=167f72ecbd7040e3ac032a192fa843bd&user.id=21fd26acf33d424bab7a4eae08f978b3 HTTP/1.1" 200 862 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:18 +0000] "GET /identity HTTP/1.1" 300 581 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:18 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1298 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:18 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:18 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 593 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:18 +0000] "GET /identity/v3/users/e056e009f00f46a2a7f8747cbbf22246 HTTP/1.1" 200 497 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:18 +0000] "GET /identity/v3/projects/167f72ecbd7040e3ac032a192fa843bd HTTP/1.1" 200 548 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.241.128.128 - - [25/Aug/2026:13:14:18 +0000] "GET /identity/v3/role_assignments?role.id=8395f340e9ce47dbba23cea71178ee65&scope.project.id=167f72ecbd7040e3ac032a192fa843bd&user.id=e056e009f00f46a2a7f8747cbbf22246 HTTP/1.1" 200 862 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
